종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액기준구성비중
US037833BY53,AAPL 3 1/4 02/23/26,"12,269.94",-,-,-
US00287YBZ16,ABBV 2.6 11/21/24,"6,134.97",-,-,-
US03522AAG58,ABIBB 3.65 02/01/26,"12,269.94",-,-,-
US00774MAS44,AER 1 3/4 01/30/26,"6,134.97",-,-,-
US026874DH71,AIG 3.9 04/01/26,"6,134.97",-,-,-
US023135BX34,AMZN 1 05/12/26,"12,269.94",-,-,-
US11134LAH24,AVGO 3 7/8 01/15/27,"6,134.97",-,-,-
US912796XW41,B 0 09/20/22,"12,269.94",-,-,-
US097023CT04,BA 4 7/8 05/01/25,"3,067.48",-,-,-
US06051GJS93,BAC 1.734 07/22/27,"18,404.91",-,-,-
US172967NS68,C 4.658 05/24/28,"12,269.94",-,-,-
US14040HCU77,COF 4.985 07/24/26,"6,134.97",-,-,-
US13645RAS31,CP 2.9 02/01/25,"6,134.97",-,-,-
US126650CL25,CVS 3 7/8 07/20/25,"6,134.97",-,-,-
US166764BL33,CVX 2.954 05/16/26,"12,269.94",-,-,-
US26078JAC45,DD 4.493 11/15/25,"6,134.97",-,-,-
US26441CAS44,DUK 2.65 09/01/26,"6,134.97",-,-,-
US38141GVR28,GS 4 1/4 10/21/25,"12,269.94",-,-,-
US404280AW98,HSBC 4.3 03/08/26,"12,269.94",-,-,-


























