종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액기준구성비중
148070,KOSEF 국고채10년,189.00,"21,325,815","21,350,385",-
365780,KINDEX 국고채10년,227.00,"20,344,875","20,392,545",-
289670,ARIRANG 국채선물10년,371.00,"19,499,760","19,490,485",-
429760,ARIRANG 미국S&P500,385.00,"4,007,850","3,980,900",-
152100,ARIRANG 200,12.00,"397,560","400,320",-
US46434G1031,ISHARES CORE MSCI EMERGING,124.00,-,-,-
US4642881175,ISHARES INTERNATIONAL TREASU,53.00,-,-,-
US4642882819,ISHARES JP MORGAN USD EMERGI,25.00,-,-,-
US4642863926,ISHARES MSCI WORLD ETF,118.00,-,-,-
KRD010010001,원화현금,-,-,"7,663,607",-
CASH00000001,설정현금액,-,-,"104,868,162",-
