종목코드,구성종목명,주식수(계약수),평가금액,시가총액,시가총액 구성비중
"073240","금호타이어","652.00","2282000","2265700","0.48"
"019170","신풍제약","98.00","2141300","2263800","0.48"
"002790","아모레G","60.00","2241000","2262000","0.48"
"024110","기업은행","237.00","2237280","2260980","0.48"
"011780","금호석유","16.00","2240000","2256000","0.48"
"402340","SK스퀘어","57.00","2177400","2254350","0.48"
"064350","현대로템","115.00","2219500","2254000","0.48"
"204320","만도","48.00","2244000","2248800","0.48"
"011210","현대위아","41.00","2255000","2246800","0.48"
"294870","HDC현대산업개발","197.00","2196550","2245800","0.48"
"010950","S-Oil","22.00","2233000","2244000","0.48"
"009150","삼성전기","17.00","2150500","2244000","0.48"
"192820","코스맥스","39.00","2191800","2234700","0.48"
"031430","신세계인터내셔날","74.00","2186700","2231100","0.48"
"000660","SK하이닉스","24.00","2138400","2220000","0.47"
"078930","GS","54.00","2192400","2211300","0.47"
"004490","세방전지","43.00","2145700","2210200","0.47"
"090430","아모레퍼시픽","17.00","2176000","2210000","0.47"
"079550","LIG넥스원","31.00","2201000","2207200","0.47"
"020000","한섬","70.00","2163000","2205000","0.47"
"008560","메리츠증권","468.00","2141100","2204280","0.47"
"011200","HMM","89.00","2104850","2202750","0.47"
"020560","아시아나항공","143.00","2180750","2195050","0.47"
"267250","HD현대","40.00","2220000","2192000","0.47"
"004170","신세계","10.00","2175000","2190000","0.47"
"381970","케이카","110.00","2106500","2183500","0.47"
"086790","하나금융지주","56.00","2147600","2181200","0.46"
"000150","두산","32.00","2172800","2179200","0.46"
"069260","TKG휴켐스","110.00","2161500","2178000","0.46"
"036570","엔씨소프트","6.00","2127000","2175000","0.46"
"020150","일진머티리얼즈","31.00","2055300","2170000","0.46"
"373220","LG에너지솔루션","6.00","2136000","2169000","0.46"
"111770","영원무역","56.00","2147600","2164400","0.46"
"285130","SK케미칼","22.00","1973400","2160400","0.46"
"004020","현대제철","64.00","2067200","2160000","0.46"
"093370","후성","118.00","2082700","2159400","0.46"
"036460","한국가스공사","56.00","2147600","2158800","0.46"
"008930","한미사이언스","56.00","2111200","2158800","0.46"
"000670","영풍","4.00","2136000","2152000","0.46"
"013890","지누스","44.00","2109800","2151600","0.46"
"004000","롯데정밀화학","32.00","2121600","2147200","0.46"
"005490","POSCO홀딩스","9.00","2070000","2146500","0.46"
"014680","한솔케미칼","10.00","2005000","2145000","0.46"
"003670","포스코케미칼","20.00","2060000","2140000","0.46"
"375500","DL이앤씨","53.00","2077600","2135900","0.46"
"009240","한샘","34.00","2128400","2135200","0.45"
"120110","코오롱인더","40.00","2100000","2132000","0.45"
"105560","KB금융","45.00","2112750","2128500","0.45"
"272210","한화시스템","159.00","2162400","2122650","0.45"
"042670","현대두산인프라코어","395.00","2050050","2121150","0.45"
"028670","팬오션","363.00","2072730","2109030","0.45"
"011790","SKC","16.00","2048000","2104000","0.45"
"006360","GS건설","70.00","2019500","2103500","0.45"
