단축코드,한글종목명,한글종목약명,상장일,기초지수명
375270,KB KBSTAR 글로벌데이터센터리츠나스닥부동산상장지수투자신탁(파생형)(합성),KBSTAR 글로벌데이터센터리츠나스닥(합성),2021/01/14,Kelly Data Center & Tech Infrastructure Net Total Return Index
411720,KB KBSTAR 글로벌메타버스Moorgate증권상장지수투자신탁(주식),KBSTAR 글로벌메타버스Moorgate,2021/12/22,Global Metaverse Index(Price Return)
417450,KB KBSTAR 글로벌수소경제Indxx증권상장지수투자신탁(주식),KBSTAR 글로벌수소경제Indxx,2022/02/15,Indxx Hydrogen Economy Index (Net Total Return)
399580,KB KBSTAR 글로벌클린에너지S&P증권상장지수투자신탁(주식),KBSTAR 글로벌클린에너지S&P,2021/10/21,S&P Global Clean Energy Index (Price Return)
336160,KB KBSTAR 금융채액티브증권상장지수투자신탁(채권),KBSTAR 금융채액티브,2019/10/29,KIS 종합채권금융채 2.5Y-3Y 지수 (총수익)
326230,KB KBSTAR 내수주플러스증권상장지수투자신탁(주식),KBSTAR 내수주플러스,2019/06/20,FnGuide 내수주플러스 지수
272560,KB KBSTAR 단기국공채액티브증권상장지수투자신탁(채권),KBSTAR 단기국공채액티브,2017/06/29,KIS 종합채권국공채3M~1.5Y지수
196230,KB KBSTAR 단기통안채증권상장지수투자신탁(채권),KBSTAR 단기통안채,2014/05/19,KIS 통안채 5개월 지수(총수익)
315960,KB KBSTAR 대형고배당10Total Return증권상장지수투자신탁(주식),KBSTAR 대형고배당10TR,2019/01/22,WISE 대형고배당10 TR 지수
252730,KB KBSTAR 모멘텀로우볼증권상장지수투자신탁(주식),KBSTAR 모멘텀로우볼,2016/10/14,FnGuide 모멘텀&로우볼 지수
252720,KB KBSTAR 모멘텀밸류증권상장지수투자신탁(주식),KBSTAR 모멘텀밸류,2016/10/14,FnGuide 모멘텀&밸류 지수
379780,KB KBSTAR 미국S&P500증권상장지수투자신탁(주식),KBSTAR 미국S&P500,2021/04/09,S&P 500
