단축코드,상장주식수
000670,1842040.0
038390,8589480.0
011150,35930773.0
273130,0.0
075580,56849456.0
277880,18643352.0
078070,18696628.0
072870,11920959.0
003450,0.0
033640,23059202.0
208340,25678786.0
138580,22556163.0
226320,21929315.0
002780,145471745.0
357250,20100000.0
002870,34958700.0
003310,35392350.0
013870,19072280.0
026150,17546331.0
000760,2800000.0
006280,11686538.0
013700,45152280.0
100840,7506711.0
052420,72167744.0
033630,0.0
092070,11571858.0
192080,18374502.0
094820,15078709.0
082210,24483945.0
037710,8000000.0
018880,533800000.0
020000,24630000.0
090370,124523448.0
182400,39647120.0
142760,31448597.0
030210,60314092.0
089010,14858157.0
136490,23779604.0
217820,11513237.0
032560,17000000.0
148020,0.0
033560,17100000.0
104540,12348320.0
033130,37115267.0
019010,48200000.0
027050,40000000.0
000400,310336320.0
016380,100008897.0
210540,11041708.0
094480,39229838.0
044820,9603921.0
097230,83274281.0
263720,12275111.0
007390,62637156.0
023900,12600000.0
138040,128838294.0
314130,14079521.0
001570,58050037.0
049800,20000000.0
004140,47971766.0
000300,120998774.0
145720,11068830.0
269620,108582089.0
293780,22298866.0
003520,182892731.0
051370,23327472.0
000010,0.0
005110,79025470.0
043610,58115438.0
023810,10000000.0
086520,24940571.0
119860,13074822.0
004720,15830890.0
040300,42000000.0
008350,129079090.0
008420,20503505.0
008560,639710579.0
330860,12184045.0
303530,7339299.0
003547,10000000.0
007630,0.0
220630,0.0
090430,58492759.0
102710,14287836.0
092730,8207361.0
383220,38307075.0
042520,10102981.0
024060,15000000.0
115960,12398000.0
192400,35562185.0
000100,73231476.0
017550,53985163.0
004540,37240693.0
175250,19001657.0
003410,503859595.0
243070,11935549.0
241710,10680000.0
191420,8108834.0
013360,54024880.0
285130,17620780.0
007980,48149587.0
013990,32887536.0
049430,9048000.0
114260,0.0
170900,8446538.0
090350,20000000.0
015350,0.0
046070,39064256.0
052020,42790318.0
175330,196982894.0
037460,16318522.0
010040,41067062.0
102940,11412356.0
017890,21605760.0
079940,13535684.0
034300,4000000.0
024660,0.0
155650,19974358.0
060560,127669525.0
036890,22482268.0
299910,8206916.0
319660,14483357.0
053980,17747882.0
005250,47028210.0
016090,44282310.0
064850,12080000.0
131220,7454490.0
248170,4568286.0
036670,11270000.0
077500,27348975.0
036190,6000000.0
041920,16000000.0
000850,2200000.0
003620,149840002.0
012600,18136345.0
000050,27415270.0
109080,5636000.0
095340,17399471.0
100220,12996741.0
009150,74693696.0
034220,357815700.0
067990,31890147.0
083420,24000000.0
054540,13000000.0
340930,10674744.0
181710,36017198.0
095720,115505985.0
004920,43610063.0
00104K,4226512.0
036810,21756789.0
001140,79380779.0
010050,874203406.0
000725,1054693.0
002600,600000.0
056360,9796800.0
005720,53543977.0
036480,3800000.0
196300,5602556.0
005500,13900000.0
