단축코드,시작날짜,상장좌수
332620,20190902,315000
332930,20190902,3000000
332940,20190902,19400000
333940,20191001,450000
333950,20191001,450000
333960,20191001,300000
333970,20191001,500000
333980,20191001,300000
334690,20191001,500000
336160,20191101,375000
337120,20191202,600000
337140,20191202,3100000
337150,20191202,1100000
337160,20191202,6600000
341850,20200601,7150000
342140,20200102,600000
346000,20200203,158000
352540,20200601,700000
352560,20200601,1200000
354240,20200601,1000000
354350,20200601,3610000
354500,20200601,1400000
356540,20200803,467000
357870,20200803,12016000
359210,20200803,3600000
360140,20200901,1600000
360150,20200901,1500000
360200,20200901,38600000
360750,20200901,133500000
361580,20200901,2450000
363510,20201005,1061000
363570,20201005,1607000
363580,20201005,6700000
364690,20201102,800000
364960,20201102,30350000
364970,20201102,15700000
364980,20201102,30700000
364990,20201102,3450000
365000,20201102,6900000
365040,20201102,2100000
365780,20201102,1182000
367380,20201102,32300000
367740,20201102,750000
367760,20201102,11250000
367770,20201102,28600000
368190,20201201,5000000
368200,20201201,800000
368470,20201201,300000
368590,20201201,19000000
368680,20201201,1200000
371150,20210104,1150000
371160,20210104,58800000
371450,20210104,5800000
371460,20210104,222960000
371470,20210104,7960000
371870,20210104,900000
372330,20210104,22850000
373490,20210104,500000
373790,20210104,1300000
375270,20210201,650000
375760,20210302,1200000
375770,20210302,3200000
376250,20210302,650000
376410,20210302,4300000
377990,20210401,2750000
379780,20210503,18800000
379790,20210503,700000
379800,20210503,40350000
379810,20210503,33400000
380340,20210503,700000
381170,20210503,128750000
381180,20210503,143900000
381560,20210503,4000000
381570,20210503,850000
385510,20210601,5850000
385520,20210601,6550000
385540,20210601,4353000
385550,20210601,2732000
385560,20210601,1600000
385590,20210601,3300000
385600,20210601,2500000
385710,20210601,2500000
385720,20210601,4900000
387270,20210601,5290000
387280,20210601,5580000
388280,20210701,7420000
388420,20210701,3160000
390390,20210802,6500000
390400,20210802,1600000
390950,20210701,1062000
391590,20210901,1200000
391600,20210901,5200000
391670,20210802,700000
391680,20210802,600000
394340,20210802,800000
394350,20210802,3600000
394660,20210802,24160000
394670,20210802,62040000
395150,20210901,1400000
395160,20210901,2300000
395170,20210901,13700000
395270,20210901,1050000
395280,20210901,2900000
395290,20210901,2600000
395750,20210901,10250000
395760,20210901,3100000
396500,20210901,8250000
396510,20210901,5560000
396520,20210901,3560000
397420,20211001,432000
399110,20211001,2700000
399580,20211101,1200000
400570,20211101,4900000
400580,20211101,1200000
400590,20211101,3200000
400970,20211101,35350000
401170,20211101,21840000
401470,20211101,35150000
401590,20211101,1500000
402460,20211101,1000000
402520,20211101,900000
402970,20211101,5200000
403790,20211101,525000
403990,20211201,800000
404120,20211201,1500000
404260,20211201,3800000
404470,20211201,550000
404540,20211201,3450000
404650,20211201,800000
407160,20211201,950000
407170,20211201,850000
407300,20211201,750000
407310,20211201,24200000
407820,20211201,1700000
407830,20211201,5800000
410870,20220103,1200000
411050,20220103,2000000
411060,20220103,3700000
411420,20220103,16900000
411540,20220103,5400000
411720,20220103,1800000
411860,20220103,750000
412770,20220103,24950000
413220,20220103,1200000
413930,20220203,1400000
414270,20220302,8200000
414780,20220203,30650000
415340,20220203,14000000
415760,20220203,1300000
415920,20220203,700000
416090,20220203,1000000
417450,20220302,850000
417630,20220302,7950000
418670,20220302,1040000
419170,20220302,700000
419420,20220401,1400000
419430,20220401,8400000
419650,20220302,600000
419890,20220401,500000
421320,20220401,1050000
422260,20220401,1700000
422420,20220502,7860000
423160,20220502,15695000
423170,20220502,1100000
424460,20220502,800000
426020,20220602,1200000
426030,20220602,1200000
426150,20220602,374000
426330,20220502,750000
426410,20220602,450000
427110,20220602,760000
427120,20220602,660000
428510,20220602,850000
428560,20220602,2050000
429000,20220602,1550000
429010,20220602,850000
429740,20220602,750000
429760,20220701,1800000
429870,20220602,750000
429980,20220701,900000
429990,20220701,900000
430500,20220701,100000
432600,20220701,414000
432840,20220701,800000
432850,20220701,650000
433220,20220701,1100000
433250,20220801,900000
433330,20220701,2000000
433500,20220701,1400000
433850,20220801,750000
