종목코드,유동자산,자산총계,유동부채,부채총계,결산기준일
4430,566400000000.0,1040302000000.0,391542000000.0,531725000000.0,2021-09-30
86980,117444890690.0,166707926943.0,27855445955.0,29950880760.0,2021-09-30
17550,160879514172.0,258700138486.0,129606104755.0,141593011622.0,2021-09-30
253840,113174961087.0,137660627441.0,11827525054.0,48728499347.0,2021-09-30
236200,82376566143.0,170348655480.0,8132109059.0,8968237734.0,2021-09-30
94840,81970296850.0,191563225922.0,3495643883.0,11512213280.0,2021-09-30
192440,241732624054.0,432697531972.0,44547153381.0,59482886128.0,2021-09-30
131100,23364934058.0,58782864238.0,22623328726.0,24381568014.0,2021-03-31
253450,222759402523.0,845185830655.0,145384320509.0,156546753122.0,2021-09-30
204630,48473002711.0,117592998118.0,76446125784.0,77514479491.0,2021-09-30
20710,60974669299.0,148400412037.0,30204642203.0,35263021319.0,2021-09-30
33170,99707057193.0,168209564367.0,45643866432.0,50726438138.0,2021-09-30
48870,88947209389.0,202074658978.0,52669269542.0,57997553535.0,2021-09-30
25320,83936676871.0,188898045439.0,92647067391.0,108741367461.0,2021-09-30
269620,46797633129.0,121121727759.0,68985941854.0,69519458451.0,2021-09-30
16590,307674986559.0,832097164931.0,99504514519.0,212069793686.0,2021-09-30
29530,903618810805.0,1050560464117.0,93976523698.0,107774145705.0,2021-09-30
4970,281479211573.0,677030642301.0,112161872164.0,134037524784.0,2021-09-30
215600,128503426316.0,141308579887.0,19826002205.0,25894769419.0,2021-09-30
65350,288720354498.0,523441921073.0,275565791196.0,320534408883.0,2021-09-30
11930,189742460970.0,453475754937.0,214059415101.0,252386315453.0,2021-09-30
5390,487518595699.0,877486413273.0,425829712805.0,623362577126.0,2021-03-31
4170,1968630126116.0,13710413789294.0,3813171114343.0,8056876083274.0,2021-09-30
31430,481942488319.0,1185108873668.0,244521867480.0,498018807218.0,2021-09-30
31440,284183965221.0,898505455155.0,157340895925.0,604027888677.0,2021-09-30
6880,36671333238.0,248104918924.0,97446895201.0,152330461721.0,2021-09-30
5800,164280360751.0,388565049897.0,51683799627.0,63237351075.0,2021-09-30
9270,342869742641.0,493226829540.0,183006665075.0,289368408417.0,2021-09-30
138070,60470536657.0,113142138575.0,26242162238.0,42028916647.0,2021-09-30
19170,269132892020.0,416053207882.0,31138700411.0,49234504237.0,2021-09-30
2870,74334769267.0,100498647053.0,1805206194.0,2604936556.0,2021-09-30
4080,51095036515.0,135185552859.0,33931844106.0,38006220907.0,2021-09-30
243840,153731415721.0,449773230432.0,190266231512.0,268243818333.0,2021-09-30
222800,240817798830.0,849695750963.0,320586028785.0,487179406297.0,2021-09-30
36710,298049995571.0,936012268541.0,327759983837.0,494555247400.0,2021-09-30
160980,125486069384.0,216462739958.0,64090369103.0,68802671306.0,2021-09-30
102280,301355577753.0,444662288170.0,161544281559.0,189648504577.0,2021-09-30
3410,755121131492.0,3568835729472.0,669575945933.0,1871266518317.0,2021-09-30
3620,409158904981.0,1862208552519.0,1378121358420.0,1912501533633.0,2021-09-30
4770,50330310620.0,70125128711.0,2051024998.0,2332812749.0,2021-09-30
208640,37924430057.0,51733899976.0,2707335219.0,3332383292.0,2021-09-30
99320,183611539990.0,223446070807.0,20849467114.0,116508330823.0,2021-09-30
15540,25775018770.0,28697097528.0,29210897411.0,29693793430.0,2021-09-30
49960,73128892999.0,111543734690.0,6810478758.0,7204237697.0,2021-09-30
50890,154169335028.0,327907527169.0,167814994436.0,177235019779.0,2021-09-30
222080,226119291557.0,280488679109.0,118338379316.0,211870609482.0,2021-09-30
4920,19651660601.0,70768239763.0,20145327427.0,28839022402.0,2021-09-30
352700,124640006962.0,185301827648.0,26690287476.0,28689972370.0,2021-09-30
297090,56286679102.0,133155728235.0,47783901642.0,73784367126.0,2021-09-30
112610,1060958474532.0,1646548178067.0,431271151926.0,640274669657.0,2021-09-30
225330,21067888777.0,103249666905.0,44306827687.0,59199144814.0,2021-09-30
96530,903054653025.0,1267875534160.0,260024941194.0,337662740100.0,2021-09-30
60590,72060390987.0,171055614878.0,55819907041.0,88000321821.0,2021-09-30
260930,96344521940.0,208508056345.0,25146057418.0,32499453098.0,2021-09-30
13990,93626044452.0,192671254894.0,38287647806.0,54860217435.0,2021-09-30
25980,454971922883.0,1348126354649.0,517011654099.0,980945639995.0,2021-09-30
8700,159361752.0,205180389.0,140513059.0,145079761.0,2021-09-30
90430,2149364607960.0,6125641755414.0,1050514045610.0,1281043172683.0,2021-09-30
2790,3150865898567.0,8064063800373.0,1178540856451.0,1461019241199.0,2021-09-30
52710,175054342401.0,417213525271.0,182725808970.0,238217754141.0,2021-09-30
74430,36067399816.0,64144431948.0,3725278480.0,4211617502.0,2021-09-30
92040,117832928768.0,415340252234.0,137757205468.0,162895176433.0,2021-09-30
83930,175301902345.0,250622241762.0,93788929446.0,98312028655.0,2021-09-30
36010,98735608803.0,140206923233.0,27224081978.0,36481656893.0,2021-09-30
2030,739332801592.0,3030898223997.0,402366754890.0,1365944689286.0,2021-09-30
183190,360435577073.0,1966027417345.0,244297061352.0,1077527471723.0,2021-09-30
2310,351347387829.0,957905911806.0,165805485252.0,257061136233.0,2021-09-30
12170,12322945197.0,30085879853.0,8120529983.0,10427740983.0,2021-09-30
67390,202636143190.0,486137170830.0,206167420729.0,324419595213.0,2021-09-30
20560,2293422108374.0,13170801676000.0,5265888657680.0,12833301964768.0,2021-09-30
143160,207431887288.0,301145079649.0,57148788414.0,64038338936.0,2021-09-30
122900,789189197232.0,1077180734944.0,606786739805.0,665708566871.0,2021-09-30
99190,179013993569.0,334830596930.0,38590188101.0,88386678473.0,2021-09-30
40910,110544963389.0,204873640175.0,20972163435.0,30360875187.0,2021-09-30
10780,2223502943815.0,3636555448815.0,1543380807129.0,2226943508079.0,2021-09-30
38880,57008786837.0,158892924617.0,28002997185.0,48804553008.0,2021-09-30
3560,45784186739.0,250760261301.0,119780269465.0,127896357872.0,2021-09-30
78860,60807674236.0,172770067714.0,12655422791.0,13283107732.0,2021-09-30
114810,57700884432.0,218067024254.0,72047036390.0,82183648320.0,2021-09-30
31310,112664808740.0,237944400176.0,51260482699.0,76146006249.0,2021-09-30
185490,103771221537.0,125875296068.0,9575550508.0,14081122809.0,2021-09-30
175250,60451187115.0,223070878297.0,61543118825.0,128759358891.0,2021-09-30
84850,308585993656.0,634649855206.0,315510379685.0,375769316596.0,2021-09-30
139990,383436341233.0,608369267908.0,300110795375.0,368899168347.0,2021-09-30
158430,63467054262.0,86079361023.0,27264464884.0,29118720401.0,2021-09-30
67160,273918838031.0,369067851721.0,169845869779.0,175950175571.0,2021-09-30
1540,110624382232.0,201292965140.0,44543283806.0,58237518732.0,2021-09-30
53800,207174386233.0,320849653956.0,67572897834.0,74760532793.0,2021-09-30
1780,321238157713.0,772863403498.0,345893178288.0,467716660162.0,2021-09-30
131370,54454586928.0,88346881444.0,11900561415.0,13279320932.0,2021-09-30
61040,165011700723.0,271290439688.0,53494611245.0,60706228641.0,2021-09-30
347860,48670333532.0,54539845536.0,3141266281.0,31206928973.0,2021-09-30
196170,220989235522.0,253070273366.0,75153063933.0,78808236689.0,2021-09-30
117670,45518977352.0,150805617786.0,56444020185.0,74303953030.0,2021-09-30
18250,267241840416.0,442919355807.0,74638609617.0,99014890339.0,2021-09-30
161000,435544055212.0,686967072305.0,215950247884.0,231830943665.0,2021-09-30
310200,58305359229.0,78848323684.0,13960765676.0,46309494185.0,2021-09-30
