Date,Open,High,Low,Close,Volume,Change
2022-06-30,10070,10070,9965,10000,68694,
2022-07-01,9955,9975,9865,9955,18338,-0.0044999999999999485
2022-07-04,9990,10045,9985,10000,68258,0.0045203415369161615
2022-07-05,10065,10100,10050,10100,73286,0.010000000000000009
2022-07-06,10145,10145,10050,10100,96299,0.0
2022-07-07,10080,10145,10025,10065,89946,-0.0034653465346534684
2022-07-08,10120,10165,10095,10095,87862,0.0029806259314455463
2022-07-11,10200,10200,10080,10085,15201,-0.000990589400693409
2022-07-12,10075,10135,10075,10095,14518,0.0009915716410511255
2022-07-13,10050,10085,10035,10065,9323,-0.002971768202080227
2022-07-14,10030,10080,9990,10035,162873,-0.0029806259314456574
2022-07-15,10080,10100,10020,10055,13041,0.0019930244145491827
2022-07-18,10130,10215,10130,10140,31523,0.008453505718547971
2022-07-19,10140,10180,10070,10125,140775,-0.0014792899408283544
2022-07-20,10155,10345,10155,10345,28471,0.02172839506172841
2022-07-21,10280,10355,10265,10275,18937,-0.006766553890768523
2022-07-22,10315,10425,10315,10365,73986,0.008759124087591275
2022-07-25,10395,10395,10305,10380,19138,0.0014471780028944004
2022-07-26,10305,10380,10305,10355,8767,-0.00240847784200382
2022-07-27,10330,10370,10315,10365,10996,0.0009657170449057784
2022-07-28,10440,10475,10400,10400,23140,0.0033767486734201935
2022-07-29,10520,10610,10520,10585,29236,0.017788461538461586
2022-08-01,10585,10640,10585,10610,23603,0.002361832782239004
2022-08-02,10610,10660,10610,10625,13165,0.001413760603204528
2022-08-03,10675,10675,10570,10625,38249,0.0
2022-08-04,10630,10715,10630,10695,32043,0.0065882352941175615
2022-08-05,10695,10695,10630,10665,33166,-0.0028050490883591017
2022-08-08,10580,10675,10575,10675,31406,0.0009376465072667983
2022-08-09,10675,10695,10645,10665,13932,-0.0009367681498828606
2022-08-10,10645,10650,10615,10625,360725,-0.0037505860290670823
2022-08-11,10780,10805,10750,10800,97642,0.016470588235294015
2022-08-12,10800,10800,10755,10775,27888,-0.0023148148148147696
2022-08-16,10930,10960,10920,10920,34587,0.01345707656612527
2022-08-17,10955,10955,10890,10925,21751,0.00045787545787545625
2022-08-18,10880,10935,10860,10920,39350,-0.0004576659038901809
2022-08-19,11000,11000,10905,10930,31449,0.0009157509157509125
2022-08-22,10870,10905,10820,10865,20780,-0.005946935041171053
