Date,Open,High,Low,Close,Volume,Change
2022-06-30,10010,10015,9900,9980,81,
2022-07-01,9975,10050,9975,10050,7,0.007014028056112176
2022-07-04,9980,10065,9980,10065,9,0.0014925373134329067
2022-07-05,10075,10090,10015,10085,310,0.001987083954297031
2022-07-06,10180,10185,10080,10185,311,0.009915716410510589
2022-07-07,10175,10175,10095,10095,359,-0.008836524300441795
2022-07-08,10195,10195,10110,10175,95,0.007924715205547272
2022-07-11,10165,10165,10060,10155,2784,-0.0019656019656019152
2022-07-12,10065,10170,10060,10155,6586,0.0
2022-07-13,10155,10165,10155,10155,14,0.0
2022-07-14,10150,10155,10060,10120,720,-0.003446578040374182
2022-07-15,10115,10195,10115,10175,348,0.005434782608695565
2022-07-18,10240,10250,10150,10150,656,-0.002457002457002422
2022-07-19,10150,10220,10130,10145,286,-0.0004926108374384564
2022-07-20,10255,10260,10180,10240,412,0.009364218827008441
2022-07-21,10135,10240,10135,10235,892,-0.00048828125
2022-07-22,10135,10300,10135,10295,713,0.005862237420615646
2022-07-25,10310,10320,10205,10275,1477,-0.0019426906265177513
2022-07-26,10210,10345,10210,10330,1185,0.005352798053527952
2022-07-27,10230,10320,10225,10320,6516,-0.0009680542110358514
2022-07-28,10330,10410,10255,10310,301912,-0.0009689922480620172
2022-07-29,10295,10415,10290,10415,1135,0.010184287099902933
2022-08-01,10415,10425,10315,10420,260407,0.00048007681228989796
2022-08-02,10285,10370,10285,10365,30373,-0.00527831094049902
2022-08-03,10290,10420,10270,10410,220852,0.004341534008682979
2022-08-04,10335,10420,10330,10420,432213,0.0009606147934677622
2022-08-05,10350,10410,10320,10330,187912,-0.008637236084452993
2022-08-08,10465,10465,10295,10305,32789,-0.002420135527589573
2022-08-09,10460,10460,10290,10375,33991,0.006792819019893148
2022-08-10,10420,10420,10295,10325,24294,-0.004819277108433773
2022-08-11,10360,10415,10285,10285,294179,-0.0038740920096852483
2022-08-12,10350,10365,10265,10340,20102,0.005347593582887722
2022-08-16,10440,10525,10360,10400,2325,0.005802707930367523
2022-08-17,10485,10505,10480,10490,355,0.008653846153846123
2022-08-18,10400,10460,10375,10390,92133,-0.009532888465204947
2022-08-19,10410,10435,10355,10405,151370,0.0014436958614052475
2022-08-22,10505,10505,10310,10325,262,-0.007688611244593968
