Date,Open,High,Low,Close,Volume,Change
2011-05-03,18192,18220,17869,17972,502986,
2011-05-04,17962,17962,17708,17742,166258,-0.012797685288226113
2011-05-06,17555,17555,17345,17508,82138,-0.013189042948934748
2011-05-09,17523,17555,17390,17449,152762,-0.0033698880511765505
2011-05-11,17585,17643,17458,17633,193498,0.010545016906412963
2011-05-12,17421,17474,17279,17290,206828,-0.019452163556967106
2011-05-13,17282,17282,17079,17228,200397,-0.003585887796414111
2011-05-16,17177,17177,17028,17078,197199,-0.008706756442999786
2011-05-17,17063,17101,16960,17106,198990,0.001639536245461981
2011-05-18,17101,17358,17075,17363,262996,0.015023968198293103
2011-05-19,17379,17379,16983,17023,582819,-0.019581869492599213
2011-05-20,17037,17134,16967,17132,255662,0.00640310168595426
2011-05-23,17052,17052,16714,16747,327196,-0.022472565958440383
2011-05-24,16645,16802,16645,16722,429906,-0.0014928046814355334
2011-05-25,16855,16906,16458,16565,284325,-0.009388829087429773
2011-05-26,16731,17047,16731,17050,186286,0.02927859945668576
2011-05-27,17025,17180,16963,17083,168891,0.001935483870967758
2011-05-30,17184,17184,16938,17013,163501,-0.004097640929579094
2011-05-31,17037,17510,17037,17422,220107,0.02404043966378655
2011-06-01,17403,17506,17353,17371,149743,-0.002927333256801723
2011-06-02,17047,17247,16988,17146,151826,-0.012952622186402585
2011-06-03,17235,17256,17129,17149,173656,0.00017496792254756421
2011-06-07,17002,17101,16963,17054,155476,-0.005539681614088243
2011-06-08,17025,17083,16774,16899,159104,-0.00908877682655096
2011-06-09,16885,16908,16709,16725,158926,-0.010296467246582619
2011-06-10,16897,16902,16532,16562,146177,-0.009745889387145046
2011-06-13,16403,16616,16384,16539,164942,-0.001388721168940954
2011-06-14,16532,16873,16532,16838,157101,0.01807848116572952
2011-06-15,16893,16993,16684,16862,163016,0.001425347428435586
2011-06-16,16593,16740,16487,16516,149033,-0.02051951132724472
2011-06-17,16603,16603,16154,16331,178888,-0.011201259384838957
2011-06-20,16424,16424,16187,16196,91670,-0.008266487049170324
2011-06-21,16283,16505,16266,16492,134251,0.018276117559891336
2011-06-22,16674,16740,16607,16617,143723,0.007579432452097912
2011-06-23,16625,16625,16452,16550,141914,-0.004032015405909584
2011-06-24,16535,16819,16535,16818,146778,0.01619335347432016
2011-06-27,16731,16824,16545,16657,236335,-0.009573076465691499
2011-06-28,16678,16908,16578,16588,154037,-0.00414240259350418
2011-06-29,16607,16920,16607,16871,174392,0.0170605256812153
2011-06-30,16920,16967,16819,16979,141927,0.006401517396716239
2011-07-01,17059,17158,17033,17098,150443,0.007008657753695635
2011-07-04,19548,19548,17091,17308,137101,0.012282138261785036
2011-07-05,17403,17444,17313,17449,169490,0.008146521839611731
2011-07-06,17379,17532,17379,17540,124199,0.005215198578715219
2011-07-07,17491,17617,17482,17569,133693,0.001653363740022895
2011-07-08,17602,17639,17523,17557,128618,-0.0006830212305766192
2011-07-11,17535,17535,17317,17357,130171,-0.011391467790624832
2011-07-12,17123,17170,16925,16974,125264,-0.022066025234775632
2011-07-13,16983,17028,16929,17009,110400,0.0020619771415104626
2011-07-14,17052,17052,16855,17001,152452,-0.000470339232171213
