Date,Open,High,Low,Close,Volume,Change
2018-03-30,29004,29031,28886,28895,391572,
2018-04-02,28881,29046,28755,28779,111107,-0.004014535386745122
2018-04-03,28529,28703,28429,28709,829333,-0.0024323291288786963
2018-04-04,28755,28755,28231,28279,136627,-0.014977881500574775
2018-04-05,28541,28796,28431,28678,57294,0.014109409809399232
2018-04-06,28387,28589,28387,28540,230618,-0.004812051049585042
2018-04-09,28497,28768,28497,28729,66789,0.006622284512964205
2018-04-10,28640,28840,28373,28774,72648,0.001566361516238013
2018-04-11,28763,28863,28635,28669,56278,-0.0036491276847153697
2018-04-12,28778,28830,28657,28665,55816,-0.00013952352715473904
2018-04-13,28740,28886,28721,28842,186482,0.0061747776033489465
2018-04-16,29009,29009,28792,28876,55791,0.0011788364191109846
2018-04-17,28895,28975,28782,28834,143115,-0.0014544950824213476
2018-04-18,29036,29251,28999,29173,129466,0.011756953596448572
2018-04-19,29286,29369,29192,29315,58475,0.0048675144825693906
2018-04-20,29160,29242,29096,29114,75632,-0.006856558076070218
2018-04-23,29079,29156,29009,29110,55715,-0.00013739094593667733
2018-04-24,29179,29179,28808,28950,67520,-0.00549639299209892
2018-04-25,28745,28787,28607,28760,56618,-0.006563039723661457
2018-04-26,28876,29226,28835,29123,143428,0.01262169680111258
2018-04-27,29454,29579,29286,29392,86584,0.009236685780997789
2018-04-30,29530,29565,29419,29558,55744,0.005647795318453941
2018-05-02,29503,29515,29306,29349,55902,-0.007070843764801382
2018-05-03,29281,29350,29160,29241,55889,-0.0036798528058877844
2018-05-04,29281,29321,29031,29042,70547,-0.006805512807359526
2018-05-08,29184,29226,28900,28907,58029,-0.004648440190069603
2018-05-09,28895,28939,28645,28820,183633,-0.003009651641470934
2018-05-10,28985,29036,28881,29013,59532,0.006696738376127609
2018-05-11,29160,29286,29123,29195,64799,0.006273050012063575
2018-05-14,29261,29266,29065,29123,55720,-0.002466175715019725
2018-05-15,29147,29147,28813,28871,55709,-0.008652954709336247
2018-05-16,28745,29009,28726,28968,60076,0.0033597727823768686
2018-05-17,29031,29123,28826,28834,55719,-0.004625793979563642
2018-05-18,28927,28930,28826,28926,57657,0.00319067767219261
2018-05-21,28994,29060,28726,28996,57025,0.002419968194703692
2018-05-23,28975,29192,28939,29173,70779,0.006104290246930599
2018-05-24,29261,29261,28999,29095,77042,-0.0026737051383127763
2018-05-25,28949,29197,28930,29136,58288,0.0014091768345076972
2018-05-28,29211,29291,29179,29256,568666,0.004118616144975329
2018-05-29,29207,29242,28966,28996,412459,-0.008887065901011737
2018-05-30,28863,28863,28185,28358,652180,-0.02200303490136568
2018-05-31,28492,28524,28360,28480,360260,0.0043021369631144335
2018-06-01,28483,28755,28382,28647,178054,0.005863764044943931
2018-06-04,28703,28866,28681,28825,6729,0.0062135651202568365
2018-06-05,28830,28881,28635,28886,89238,0.0021162185602774386
2018-06-07,29092,29211,29009,29136,86253,0.008654711625008638
2018-06-08,29056,29075,28796,28842,235927,-0.010090609555189478
2018-06-11,28886,29088,28813,29092,89597,0.008667914846404612
2018-06-12,29211,29238,29004,29069,93637,-0.0007905953526742282
2018-06-14,28830,28850,28474,28490,99621,-0.01991812583852215
2018-06-15,28648,28657,28351,28358,450998,-0.004633204633204602
2018-06-18,28364,28364,27898,28030,114172,-0.01156640101558648
2018-06-19,27975,28034,27589,27667,8740,-0.01295041027470567
2018-06-20,27766,28026,27682,27876,1276145,0.007554125853905358
2018-06-21,27830,27939,27618,27625,64545,-0.009004161285693812
2018-06-22,27371,27830,27371,27835,79824,0.0076018099547512374
2018-06-25,27779,27866,27550,27850,3761,0.0005388898868330383
2018-06-26,27571,27856,27470,27799,14990,-0.001831238779174127
2018-06-27,27709,27871,27673,27723,8051,-0.002733911291773139
2018-06-28,27599,27664,27378,27434,2204,-0.010424557226851316
2018-06-29,27470,27568,27189,27498,4436,0.0023328716191586274
2018-07-02,27504,27535,26913,26922,119618,-0.020946977962033597
2018-07-03,27115,27115,26743,26954,60919,0.0011886189733303354
2018-07-04,26945,27060,26802,26843,56808,-0.00411812717963933
2018-07-05,26851,26968,26641,26803,55708,-0.001490146406884496
2018-07-06,26729,27068,26649,26954,55709,0.00563369772040434
2018-07-09,26994,27266,26899,27175,55708,0.008199154114417073
2018-07-10,27266,27359,27194,27217,88374,0.001545538178472805
