Date,Open,High,Low,Close,Volume,Change
2022-06-30,9995,10000,9890,9920,1303,
2022-07-01,9800,9890,9800,9845,54,-0.007560483870967749
2022-07-04,9885,9955,9885,9955,10,0.011173184357541999
2022-07-05,9945,10000,9945,10000,6,0.0045203415369161615
2022-07-06,9975,9995,9965,9990,67,-0.0010000000000000009
2022-07-07,9930,9980,9900,9945,138,-0.0045045045045044585
2022-07-08,10020,10020,9945,10010,1539,0.006535947712418277
2022-07-11,10040,10040,9915,10000,2979,-0.0009990009990009652
2022-07-12,9960,10015,9960,10010,2846,0.0009999999999998899
2022-07-13,10010,10010,9880,9975,39,-0.0034965034965035446
2022-07-14,9855,9900,9855,9900,32,-0.007518796992481258
2022-07-15,9980,9980,9980,9980,1,0.008080808080808133
2022-07-18,9990,10090,9990,10090,4265,0.011022044088176308
2022-07-19,10050,10050,10050,10050,1,-0.003964321110009883
2022-07-20,10050,10155,10050,10155,6,0.010447761194029903
2022-07-21,10090,10225,10090,10175,1191,0.001969473165928104
2022-07-22,10135,10260,10135,10260,59,0.00835380835380839
2022-07-25,10145,10230,10120,10230,672,-0.0029239766081871066
2022-07-26,10150,10195,10140,10195,1054,-0.003421309872922773
2022-07-27,10130,10215,10130,10215,55,0.0019617459538989745
2022-07-28,10265,10305,10175,10225,171,0.0009789525208028227
2022-07-29,10285,10320,10245,10260,1208,0.0034229828850855792
2022-08-01,10355,10370,10355,10370,181,0.01072124756335291
2022-08-02,10365,10400,10300,10375,322,0.00048216007714563247
2022-08-03,10285,10360,10260,10360,121,-0.0014457831325300763
2022-08-04,10325,10370,10300,10370,273,0.0009652509652509078
2022-08-05,10445,10445,10250,10340,600,-0.002892960462873684
2022-08-08,10315,10390,10310,10350,100280,0.0009671179883945502
2022-08-09,10360,10370,10355,10355,101,0.0004830917874396601
2022-08-10,10370,10395,10370,10395,100,0.0038628681796233355
2022-08-11,10440,10460,10440,10460,45,0.006253006253006177
2022-08-12,10410,10415,10400,10400,41,-0.005736137667303964
2022-08-16,10520,10555,10520,10555,4,0.014903846153846212
2022-08-17,10555,10615,10555,10615,111,0.0056845097110374
2022-08-18,10595,10635,10565,10635,745,0.0018841262364579503
2022-08-19,10620,10720,10620,10620,1505,-0.0014104372355430161
2022-08-22,10580,10620,10580,10610,63,-0.0009416195856873921
