Date,Open,High,Low,Close,Volume,Change
2014-12-05,8370,8426,8370,8416,30824,
2014-12-08,8411,8438,8376,8429,11889,0.0015446768060836114
2014-12-09,8406,8442,8324,8360,12552,-0.00818602443943528
2014-12-10,8328,8333,8227,8283,7816,-0.009210526315789447
2014-12-11,8233,8246,8181,8189,6192,-0.011348545213087036
2014-12-12,8181,8194,8154,8194,19427,0.0006105751618024069
2014-12-15,8135,8211,8098,8220,19048,0.0031730534537466326
2014-12-16,8159,8196,8154,8177,8210,-0.005231143552311468
2014-12-17,8181,8241,8151,8243,597496,0.008071419836125804
2014-12-18,8263,8279,8104,8152,15700,-0.011039670023049841
2014-12-19,8194,8206,8151,8217,3500,0.007973503434739904
2014-12-22,8249,8254,8194,8239,1820,0.0026773761713521083
2014-12-23,8231,8254,8227,8251,7224,0.001456487437795806
2014-12-24,8227,8271,8201,8275,6626,0.0029087383347472517
2014-12-26,8284,8316,8284,8311,9456,0.004350453172205393
2014-12-29,8376,8384,8316,8327,704,0.0019251594272651218
2014-12-30,8316,8333,8254,8275,1518,-0.0062447460069653404
2015-01-02,8237,8279,8196,8287,643,0.0014501510574018717
2015-01-05,8276,8276,8166,8251,8508,-0.0043441534934234305
2015-01-06,8201,8211,8135,8156,8993,-0.011513755908374779
2015-01-07,8147,8147,8084,8128,1557,-0.00343305541932315
2015-01-08,8116,8143,8094,8141,70816,0.001599409448818978
2015-01-09,8178,8206,8173,8213,929,0.008844122343692362
2015-01-12,8203,8211,8185,8220,2266,0.0008523073176671669
2015-01-13,8194,8227,8166,8235,1130,0.0018248175182482562
2015-01-14,8206,8220,8190,8226,1481,-0.0010928961748634114
2015-01-15,8173,8249,8173,8257,7504,0.003768538779479691
2015-01-16,8185,8231,8178,8235,45302,-0.00266440595858064
2015-01-19,8254,8263,8246,8261,341,0.0031572556162720034
2015-01-20,8257,8257,8211,8266,7691,0.0006052536012588483
2015-01-21,8263,8263,8201,8261,525,-0.0006048874909266866
2015-01-22,8267,8267,8220,8257,963,-0.00048420288100714526
2015-01-23,8271,8271,8254,8275,711,0.0021799685115659884
2015-01-26,8263,8263,8233,8257,904,-0.0021752265861026965
2015-01-27,8267,8313,8254,8311,2435,0.006539905534697743
2015-01-28,8276,8320,8276,8323,1290,0.0014438695704488413
2015-01-29,8313,8347,8279,8342,2121,0.002282830710080397
2015-01-30,8376,8392,8355,8391,5290,0.005873891153200583
2015-02-02,8384,8415,8376,8425,1401,0.004051960433798074
2015-02-03,8426,8426,8320,8346,1021,-0.009376854599406514
2015-02-04,8411,8411,8343,8407,114214,0.007308890486460662
2015-02-05,8406,8406,8358,8386,1457,-0.0024979184013321776
2015-02-06,8421,8421,8389,8429,308,0.005127593608394987
2015-02-09,8389,8406,8389,8411,1027,-0.002135484636374474
2015-02-10,8389,8389,8339,8398,1136,-0.0015455950540957941
2015-02-11,8395,8395,8384,8402,50,0.00047630388187669404
2015-02-12,8370,8418,8362,8429,787,0.003213520590335639
2015-02-13,8411,8450,8399,8433,3755,0.0004745521414164511
2015-02-16,8421,8438,8406,8447,1229,0.0016601446697497302
2015-02-17,8463,8471,8403,8466,3955,0.0022493192849533106
2015-02-23,8497,8548,8497,8558,155,0.010866997401370204
2015-02-24,8588,8645,8582,8653,278,0.011100724468333656
2015-02-25,8657,8657,8622,8643,273,-0.0011556685542586376
2015-02-26,8635,8635,8565,8643,354,0.0
2015-02-27,8641,8641,8565,8631,1737,-0.0013884068031932983
2015-03-02,8608,8608,8551,8582,648,-0.005677210056772131
2015-03-03,8574,8586,8504,8590,742,0.0009321836401772199
2015-03-04,8562,8574,8543,8582,136,-0.0009313154831198656
2015-03-05,8574,8635,8555,8643,712,0.007107900256350552
2015-03-06,8630,8630,8595,8638,630,-0.0005785028346638743
2015-03-09,8600,8600,8539,8582,512,-0.00648298217179899
2015-03-10,8551,8551,8471,8554,846,-0.0032626427406199365
2015-03-11,8467,8471,8435,8452,4437,-0.011924245966799196
2015-03-12,8411,8525,8411,8500,498,0.0056791292001892035
2015-03-13,8497,8570,8497,8572,2425,0.008470588235294008
2015-03-16,8588,8588,8565,8598,684,0.0030331311245916925
2015-03-17,8660,8663,8614,8672,1538,0.008606652709932439
2015-03-18,8660,8676,8637,8670,595885,-0.00023062730627310124
2015-03-19,8714,8714,8635,8719,972,0.005651672433679256
2015-03-20,8672,8718,8663,8727,897,0.000917536414726472
2015-03-23,8763,8763,8667,8733,385,0.0006875214850463607
2015-03-24,8702,8737,8686,8740,371,0.0008015573113477892
2015-03-25,8733,8778,8733,8782,574,0.0048054919908466776
2015-03-26,8774,8778,8741,8786,283,0.00045547711227511556
2015-03-27,8777,8777,8736,8780,39972,-0.0006829046209879674
2015-03-30,8800,8856,8794,8863,96,0.009453302961275556
2015-03-31,8856,8868,8831,8878,343,0.001692429200045087
2015-04-01,8831,8939,8814,8946,458,0.007659382743861132
2015-04-02,8943,9008,8943,9010,27503,0.007154035323049479
2015-04-03,8992,9087,8992,9096,135,0.009544950055493828
2015-04-06,9095,9095,9049,9100,844,0.0004397537379068339
2015-04-07,9121,9135,9095,9148,57504,0.005274725274725167
2015-04-08,9144,9144,9104,9143,12662,-0.0005465675557498884
2015-04-09,9135,9144,9124,9143,1169,0.0
2015-04-10,9156,9210,9108,9217,1782,0.008093623537132277
2015-04-13,9239,9255,9210,9239,3617,0.0023868937832265402
2015-04-14,9217,9261,9162,9214,3081,-0.002705920554172514
2015-04-15,9193,9273,9193,9281,54191,0.007271543303668304
2015-04-16,9309,9309,9213,9285,5450,0.0004309880400819033
2015-04-17,9299,9307,9268,9316,517,0.0033387183629509654
2015-04-20,9281,9316,9268,9327,448,0.0011807642765135906
2015-04-21,9358,9358,9261,9327,55004,0.0
2015-04-22,9312,9366,9174,9273,2575,-0.005789642972016673
2015-04-23,9273,9342,9217,9353,5004,0.008627197239296835
2015-04-24,9338,9385,9244,9294,1445,-0.0063081364268149365
2015-04-27,9338,9399,9335,9412,224,0.012696363245104259
2015-04-28,9431,9436,9377,9390,2951,-0.0023374415639608737
2015-04-29,9437,9468,9374,9476,690,0.009158679446219287
2015-04-30,9465,9465,9337,9412,17741,-0.006753904601097482
2015-05-04,9421,9421,9302,9337,926,-0.007968550786230377
2015-05-06,9287,9287,9184,9209,10129,-0.013708900074970498
2015-05-07,9197,9197,8962,9149,4713,-0.00651536540340969
2015-05-08,9165,9248,9122,9255,245,0.01158596567930914
2015-05-11,9311,9353,9255,9352,695,0.01048082117774185
2015-05-12,9330,9334,9282,9344,626,-0.0008554319931565191
2015-05-13,9346,9381,9328,9390,350,0.004922945205479534
2015-05-14,9341,9414,9341,9423,1220,0.003514376996805124
2015-05-15,9460,9460,9396,9453,517,0.003183699458771061
2015-05-18,9445,9445,9381,9447,2245,-0.0006347191367819249
2015-05-19,9437,9476,9428,9483,1616,0.0038107335662114217
2015-05-20,9472,9600,9457,9606,1436,0.01297057893071818
2015-05-21,9623,9623,9556,9567,450,-0.004059962523422889
2015-05-22,9586,9674,9586,9677,1424,0.011497857217518614
2015-05-26,9633,9655,9576,9629,665,-0.004960214942647534
2015-05-27,9561,9561,9414,9449,14137,-0.018693529961574362
2015-05-28,9465,9523,9445,9514,572,0.0068790348184992745
2015-05-29,9492,9586,9484,9575,312,0.0064116039520707435
2015-06-01,9570,9591,9484,9554,16598,-0.0021932114882506903
2015-06-02,9523,9533,9484,9499,953,-0.0057567510990160775
2015-06-03,9484,9538,9428,9457,1112,-0.004421518054532059
2015-06-04,9395,9472,9366,9376,518,-0.008565084064714013
2015-06-05,9366,9366,9328,9376,850,0.0
2015-06-08,9366,9433,9328,9442,1255,0.007039249146757687
2015-06-09,9433,9565,9433,9571,8877,0.01366235966956153
2015-06-10,9565,9595,9445,9531,4592,-0.004179291610072133
2015-06-11,9523,9546,9424,9457,9662,-0.0077641380757528244
2015-06-12,9513,9513,9395,9404,1085,-0.005604314264565979
2015-06-15,9366,9381,9302,9309,3836,-0.010102084219481111
2015-06-16,9314,9314,9095,9247,2960,-0.006660221291223567
2015-06-17,9229,9288,9229,9298,213,0.005515302260192589
2015-06-18,9288,9353,9288,9352,891,0.005807700580769959
2015-06-19,9353,9386,9353,9395,82,0.0045979469632164705
2015-06-22,9377,9437,9377,9412,610,0.0018094731240021478
2015-06-23,9437,9492,9433,9491,259,0.008393540161496071
2015-06-24,9499,9560,9471,9569,4681,0.00821831208513335
2015-06-25,9546,9604,9508,9611,481,0.004389173372348232
2015-06-26,9591,9604,9549,9575,278,-0.003745708042867557
2015-06-29,9448,9472,9353,9447,2504,-0.013368146214099208
2015-06-30,9319,9519,9319,9527,1273,0.008468296813803233
2015-07-01,9519,9564,9480,9569,1048,0.004408523144746601
2015-07-02,9561,9578,9552,9584,134,0.0015675619186958922
2015-07-03,9575,9585,9503,9596,596,0.0012520868113523598
2015-07-06,9519,9519,9314,9325,7347,-0.028240933722384343
2015-07-07,9369,9421,9311,9412,2076,0.009329758713136682
2015-07-08,9441,9441,9314,9337,963,-0.007968550786230377
2015-07-09,9279,9311,9133,9322,16638,-0.0016065117275355645
2015-07-10,9311,9374,9311,9385,115,0.006758206393477684
2015-07-13,9341,9538,9341,9545,4699,0.017048481619605704
2015-07-14,9538,9623,9538,9629,1634,0.00880041906757456
2015-07-15,9674,9674,9604,9661,674,0.003323294215390904
2015-07-16,9641,9759,9641,9752,900,0.009419314770727771
2015-07-17,9744,9744,9606,9649,705,-0.010561936013125495
2015-07-20,9699,9699,9628,9697,791,0.004974608767748023
2015-07-21,9686,9755,9686,9763,2392,0.006806228730535269
2015-07-22,9716,9716,9546,9563,1144,-0.020485506504148265
2015-07-23,9552,9552,9461,9531,340,-0.0033462302624699403
2015-07-24,9516,9516,9374,9447,9629,-0.008813345923827542
2015-07-27,9353,9353,9210,9333,1122,-0.012067322959669724
2015-07-28,9262,9337,9197,9348,504,0.0016072002571521082
2015-07-29,9337,9337,9265,9274,430,-0.007916131792896852
2015-07-30,9265,9314,9252,9291,390,0.001833081733879638
2015-07-31,9270,9366,9229,9376,270,0.009148638467334047
2015-08-03,9418,9418,9363,9400,414,0.0025597269624573205
2015-08-04,9390,9489,9390,9495,544,0.01010638297872335
2015-08-05,9484,9576,9428,9584,1238,0.009373354397051115
2015-08-06,9651,9678,9542,9563,34911,-0.0021911519198664076
2015-08-07,9513,9549,9437,9447,140,-0.012130084701453492
2015-08-10,9445,9445,9302,9329,1553,-0.012490737800359919
2015-08-11,9319,9351,9210,9228,4375,-0.010826455139886337
2015-08-12,9174,9189,9006,9164,3489,-0.00693541395752062
2015-08-13,9075,9270,9075,9239,353747,0.008184199039720674
2015-08-17,9201,9229,9150,9168,19370,-0.007684814373849935
2015-08-18,9169,9169,9046,9120,3170,-0.005235602094240788
2015-08-19,9029,9029,8897,9019,2247,-0.01107456140350882
2015-08-20,8944,8944,8882,8930,703,-0.009868056325535002
2015-08-21,8717,8725,8614,8700,5574,-0.025755879059350506
2015-08-24,8537,8681,8364,8500,4676,-0.02298850574712641
2015-08-25,8542,8581,8364,8520,1005,0.0023529411764706687
2015-08-26,8510,8717,8496,8725,5117,0.02406103286384975
2015-08-27,8779,8820,8763,8803,472,0.008939828080229306
2015-08-28,8824,8897,8824,8892,16510,0.010110189708053996
2015-08-31,8867,8875,8820,8845,496,-0.00528565002249215
2015-09-01,8814,8814,8779,8794,1289,-0.005765969474279209
2015-09-02,8617,8721,8617,8717,2299,-0.008755969979531542
2015-09-03,8756,8756,8673,8697,609,-0.0022943673282092014
2015-09-04,8673,8681,8506,8585,16415,-0.012878003909394087
2015-09-07,8556,8585,8527,8593,14679,0.0009318578916714948
