Date,Open,High,Low,Close,Volume,Change
2014-12-17,11205,11214,11125,11186,441505,
2014-12-18,11259,11259,10985,11078,3523,-0.009654925800107295
2014-12-19,11130,11146,11050,11083,1531,0.0004513450081242709
2014-12-22,11069,11151,11069,11161,1852,0.007037805648290263
2014-12-23,11162,11162,11114,11125,1550,-0.003225517426753921
2014-12-24,11151,11205,11118,11178,2424,0.0047640449438202115
2014-12-26,11167,11227,11167,11214,1232,0.0032206119162641045
2014-12-29,11300,11313,11254,11272,403,0.0051721062957017505
2014-12-30,11238,11242,11134,11173,973,-0.008782824698367664
2015-01-02,11079,11209,11073,11218,283,0.004027566454846587
2015-01-05,11214,11288,11192,11285,397,0.005972544125512513
2015-01-06,11183,11238,11121,11182,1094,-0.009127159946832109
2015-01-07,11121,11159,11109,11145,197,-0.0033088892863530894
2015-01-08,11170,11247,11167,11235,200,0.008075370121130465
2015-01-09,11272,11389,11272,11326,389,0.008099688473520272
2015-01-12,11424,11433,11377,11439,469,0.009977043969627397
2015-01-13,11441,11538,11433,11524,12564,0.007430719468485059
2015-01-14,11517,11517,11410,11486,7374,-0.0032974661575841946
2015-01-15,11434,11522,11429,11531,9253,0.003917812989726599
2015-01-16,11479,11479,11406,11483,6720,-0.004162691874078583
2015-01-19,11508,11554,11484,11494,137,0.000957937821126853
2015-01-20,11531,11563,11508,11574,3175,0.006960153123368729
2015-01-21,11588,11677,11588,11678,1377,0.008985657508208122
2015-01-22,11690,11690,11608,11695,1326,0.0014557287206713454
2015-01-23,11765,11765,11625,11649,24956,-0.003933304831124418
2015-01-26,11669,11669,11588,11644,189,-0.00042922139239420787
2015-01-27,11650,11690,11629,11695,97,0.004379938165578912
2015-01-28,11681,11839,11681,11841,5951,0.01248396750748193
2015-01-29,11786,11802,11753,11813,52,-0.0023646651465247803
2015-01-30,11805,11848,11749,11857,935,0.0037247100651824905
2015-02-02,11860,11863,11810,11877,1903,0.0016867673104494774
2015-02-03,11871,11871,11745,11848,14879,-0.0024416940304791135
2015-02-04,11913,11942,11913,11949,40240,0.008524645509790707
2015-02-05,11942,11963,11863,11974,520,0.002092225290819316
2015-02-06,11958,11958,11881,11908,9682,-0.005511942542174686
2015-02-09,11889,11889,11815,11835,1029,-0.0061303325495465355
2015-02-10,11815,11839,11727,11817,629,-0.001520912547528508
2015-02-11,11848,11848,11770,11835,185,0.0015232292460014563
2015-02-12,11830,11871,11805,11872,1648,0.003126320236586322
2015-02-13,11922,11922,11848,11934,3703,0.00522237196765496
2015-02-16,11909,11909,11834,11848,2542,-0.007206301323948394
2015-02-17,11834,11855,11786,11867,400,0.001603646185010188
2015-02-23,11939,11984,11926,11992,970,0.010533411982809548
2015-02-24,11958,12133,11913,12111,675,0.009923282188125437
2015-02-25,12099,12245,12099,12236,658,0.01032119560729905
2015-02-26,12215,12215,12143,12177,1561,-0.00482183720169993
2015-02-27,12208,12231,12153,12199,1844,0.0018066847335140857
2015-03-02,12215,12215,12128,12209,2153,0.0008197393228952521
2015-03-03,12213,12213,12107,12198,1412,-0.000900974690801859
2015-03-04,12140,12191,12140,12199,146,8.198065256603826e-05
2015-03-05,12166,12200,12095,12209,807,0.0008197393228952521
2015-03-06,12204,12204,12082,12198,2413,-0.000900974690801859
2015-03-09,12103,12169,12042,12095,3884,-0.008444007214297389
2015-03-10,12120,12123,12030,12099,997,0.0003307151715585821
2015-03-11,11955,12012,11955,12000,3747,-0.008182494421026476
2015-03-12,11992,12025,11939,12038,10215,0.003166666666666762
2015-03-13,12091,12153,12033,12149,1264,0.00922080079747456
2015-03-16,12115,12186,12115,12198,400,0.004033253765741929
2015-03-17,12208,12290,12200,12299,479,0.008280045909165423
2015-03-18,12283,12304,12208,12236,438786,-0.005122367672168449
2015-03-19,12290,12322,12250,12306,2087,0.005720823798627039
2015-03-20,12266,12375,12258,12387,573,0.006582155046318761
2015-03-23,12375,12406,12336,12387,37812,0.0
2015-03-24,12365,12423,12360,12430,1418,0.0034713812868329974
2015-03-25,12427,12533,12423,12542,50518,0.009010458567980661
2015-03-26,12529,12529,12464,12520,1327,-0.0017541062031574128
2015-03-27,12547,12547,12456,12502,2740,-0.0014376996805112174
2015-03-30,12493,12609,12493,12610,17483,0.008638617821148609
2015-03-31,12618,12672,12600,12680,43466,0.0055511498810467685
2015-04-01,12658,12720,12629,12728,33163,0.003785488958990557
2015-04-02,12738,12784,12704,12749,16539,0.0016499057196732725
2015-04-03,12738,12775,12686,12770,3213,0.0016471880147461704
2015-04-06,12775,12896,12775,12899,35532,0.010101801096319418
2015-04-07,12934,12979,12866,12924,47217,0.001938134739126962
2015-04-08,12900,12943,12876,12953,41747,0.0022438873413803684
2015-04-09,12934,13016,12934,12976,4007,0.0017756504284722752
2015-04-10,13016,13157,12966,13157,15078,0.01394882860665847
2015-04-13,13170,13183,13048,13131,27180,-0.001976134377137617
2015-04-14,13125,13150,12910,13093,7494,-0.0028939151625922976
2015-04-15,13078,13161,12995,13169,40350,0.005804628427404035
2015-04-16,13120,13199,13048,13173,35830,0.0003037436403674487
2015-04-17,13215,13353,13150,13359,2277,0.01411979048052836
2015-04-20,13295,13314,13191,13294,12434,-0.0048656336552137525
2015-04-21,13346,13376,13240,13364,57281,0.005265533323303817
2015-04-22,13390,13390,13074,13203,11031,-0.012047291230170565
2015-04-23,13219,13299,13107,13290,6091,0.00658941149738701
2015-04-24,13346,13397,13178,13222,7277,-0.00511662904439425
2015-04-27,13381,13448,13323,13453,55240,0.017470881863560717
2015-04-28,13495,13495,13413,13425,3269,-0.002081320151639088
2015-04-29,13463,13484,13313,13491,3975,0.004916201117318497
2015-04-30,13463,13463,13272,13341,51570,-0.011118523460084462
2015-05-04,13390,13390,13201,13358,12402,0.001274267296304643
2015-05-06,13361,13361,13034,13112,12833,-0.018415930528522195
2015-05-07,13087,13087,12728,13022,16285,-0.00686394142769986
2015-05-08,13011,13213,12978,13220,1647,0.01520503762862857
2015-05-11,13307,13559,13307,13551,3087,0.02503782148260214
2015-05-12,13564,13564,13453,13505,2624,-0.003394583425577413
2015-05-13,13534,13651,13471,13660,2593,0.011477230655312809
2015-05-14,13651,13812,13635,13782,2371,0.00893118594436304
2015-05-15,13819,13819,13726,13804,6148,0.001596285009432652
2015-05-18,13845,13890,13781,13897,4659,0.006737177629672519
2015-05-19,13918,13927,13811,13906,8116,0.000647621788875341
2015-05-20,13881,14023,13823,14030,3379,0.008917014238458254
2015-05-21,14023,14040,13869,14006,17410,-0.0017106200997861754
2015-05-22,14040,14157,13981,14148,83376,0.010138512066257377
2015-05-26,14135,14239,14052,14189,13312,0.0028979361040428753
2015-05-27,14098,14098,13849,13944,63722,-0.017266896891958594
2015-05-28,13940,14148,13940,14056,8762,0.008032128514056325
2015-05-29,14003,14348,14003,14236,229003,0.012805919180421066
2015-06-01,14256,14327,14065,14323,240908,0.006111267209890414
2015-06-02,14287,14774,14028,14056,29767,-0.01864134608671364
2015-06-03,14036,14119,13932,13997,8847,-0.004197495731360301
2015-06-04,14000,14119,13940,13971,5948,-0.0018575409016218236
2015-06-05,13979,14052,13845,13961,27428,-0.0007157683773530987
2015-06-08,14006,14065,13910,14073,4483,0.008022347969343091
2015-06-09,14098,14123,13991,14035,9895,-0.0027002060683578577
2015-06-10,14119,14119,13910,13966,3093,-0.0049162807267545405
2015-06-11,14040,14040,13857,13902,23890,-0.004582557639982832
2015-06-12,14000,14000,13789,13836,223266,-0.004747518342684498
2015-06-15,13781,13794,13648,13718,42159,-0.008528476438276922
2015-06-16,13698,13706,13418,13569,57240,-0.01086164163872283
2015-06-17,13601,13601,13468,13598,17407,0.002137224555973205
2015-06-18,13661,13781,13592,13710,3216,0.008236505368436564
2015-06-19,13770,13857,13770,13824,11859,0.008315098468271387
2015-06-22,13865,13895,13773,13841,2150,0.0012297453703704608
2015-06-23,13877,13928,13831,13936,5850,0.0068636659200924655
2015-06-24,13979,14040,13940,14048,74114,0.008036739380022917
2015-06-25,14015,14128,13936,14135,10861,0.0061930523917994584
2015-06-26,14143,14185,14060,14076,10643,-0.0041740360806508114
2015-06-29,13961,14010,13836,13911,14729,-0.011722080136402413
2015-06-30,13794,14010,13730,14018,182167,0.0076917547264754305
2015-07-01,14010,14152,13974,14087,3715,0.004922242830646351
2015-07-02,14083,14265,14083,14275,8206,0.013345637822105516
2015-07-03,14298,14298,14138,14202,7523,-0.005113835376532427
2015-07-06,14010,14091,13785,13832,22323,-0.026052668638219978
2015-07-07,13849,13849,13484,13672,12159,-0.011567379988432602
2015-07-08,13751,13751,13439,13531,16985,-0.01031304856641313
2015-07-09,13460,13460,13099,13373,46807,-0.01167689010420514
2015-07-10,13484,13564,13439,13542,5996,0.012637403723921414
2015-07-13,13539,13857,13534,13849,5394,0.022670211194801393
2015-07-14,13914,14098,13865,14035,184091,0.013430572604520075
2015-07-15,14123,14248,14031,14212,14415,0.012611328820805179
2015-07-16,14277,14498,14243,14377,15912,0.011609907120742946
2015-07-17,14439,14458,14291,14352,3359,-0.0017388885024691714
2015-07-20,14343,14523,14298,14500,6980,0.010312151616499454
2015-07-21,14537,14606,14498,14618,7168,0.008137931034482682
2015-07-22,14602,14602,14401,14425,7146,-0.013202900533588746
2015-07-23,14421,14477,14239,14433,12012,0.0005545927209704704
2015-07-24,14421,14421,14203,14332,16769,-0.006997852144391303
2015-07-27,14298,14298,14065,14261,5854,-0.004953949204577146
2015-07-28,14114,14218,13966,14227,13161,-0.0023841245354463414
2015-07-29,14291,14291,14119,14171,5680,-0.0039361776903071855
2015-07-30,14240,14240,13974,13981,2949,-0.013407663538211878
2015-07-31,13974,14083,13816,14087,3521,0.00758171804591945
2015-08-03,14106,14106,13940,13961,2137,-0.008944416838219671
2015-08-04,13961,14152,13886,14161,3540,0.01432562137382698
2015-08-05,14132,14464,14119,14459,10098,0.021043711602287907
2015-08-06,14499,14600,14445,14577,18025,0.00816100698526867
