Date,Open,High,Low,Close,Volume,Change
2019-01-15,15566,15673,15566,15608,268,
2019-01-16,15595,15618,15513,15515,5479,-0.005958482829318323
2019-01-17,15600,15678,15590,15679,227,0.010570415726716131
2019-01-18,15789,15823,15726,15762,1618,0.005293704955673162
2019-01-21,15779,15779,15397,15398,918,-0.02309351605126253
2019-01-22,15309,15416,15309,15389,7,-0.0005844914924015843
2019-01-23,15590,15726,15590,15719,216,0.021443888491779806
2019-01-24,15513,15513,15430,15443,33,-0.017558368852980455
2019-01-25,15571,15595,15518,15525,10,0.005309849122579813
2019-01-28,15604,15628,15604,15632,3,0.00689210950080521
2019-01-29,15683,15683,15566,15573,77,-0.003774309109518925
2019-01-30,15352,15387,15280,15282,1366,-0.018686187632440787
2019-01-31,15425,15464,15387,15467,6,0.012105745321292938
2019-02-01,15425,15425,15324,15326,594,-0.009116182840887
2019-02-07,15280,15280,15134,15137,117,-0.012331984862325451
2019-02-08,15362,15367,15362,15364,7,0.014996366519125282
2019-02-11,15304,15304,15227,15229,316,-0.008786774277531939
2019-02-12,15154,15154,14921,15002,62,-0.014905771882592456
2019-02-13,15017,15114,15017,15118,1852,0.007732302359685361
2019-02-14,15077,15077,15077,15078,516,-0.0026458526260086934
2019-02-15,15270,15270,15183,15185,40,0.007096431887518184
2019-02-18,15348,15362,15183,15210,259215,0.001646361540994512
2019-02-19,15198,15265,15099,15215,173641,0.00032873109796183186
2019-02-20,15134,15207,15114,15142,144662,-0.004797896812356206
2019-02-21,15198,15261,15134,15262,148379,0.007924976885484103
2019-02-22,15217,15222,15124,15156,95812,-0.006945354475167087
2019-02-25,15202,15222,15174,15175,1038,0.001253628925838024
2019-02-26,15222,15444,15222,15448,11024,0.017990115321252054
2019-02-27,15489,15513,15489,15515,5211,0.004337131020196727
2019-02-28,15494,15648,15494,15652,26333,0.008830164357073844
2019-03-04,15449,15613,15449,15530,61,-0.007794531050344999
2019-03-05,15494,15536,15397,15398,467,-0.008499678042498404
2019-03-06,15430,15449,15357,15413,1054,0.0009741524873361218
2019-03-07,15420,15430,15338,15340,21,-0.004736261597352853
2019-03-08,15222,15227,15124,15171,21480,-0.011016949152542366
2019-03-11,15104,15104,15072,15103,31,-0.0044822358447037525
2019-03-12,15188,15232,15062,15063,11,-0.0026484804343508417
2019-03-13,15037,15037,14921,14997,1080,-0.004381597291376216
2019-03-14,15007,15119,15007,15123,16,0.008401680336067141
2019-03-15,15252,15333,15247,15336,4642,0.014084507042253502
2019-03-18,15406,15416,15367,15384,5829,0.003129890453834161
2019-03-19,15397,15397,15247,15249,10739,-0.008775351014040589
2019-03-20,15091,15091,15022,15073,3844,-0.011541740441996184
2019-03-21,15280,15280,15149,15151,115,0.005174815895973017
2019-03-22,15222,15270,15217,15272,17,0.00798627153323217
2019-03-25,15227,15338,15202,15272,5884,0.0
2019-03-26,15352,15352,15352,15354,1,0.005369303300157169
2019-03-27,15202,15309,15202,15297,3,-0.003712387651426341
2019-03-28,15387,15479,15387,15481,887,0.012028502320716505
2019-03-29,15372,15449,15372,15393,41,-0.005684387313481087
