Date,Open,High,Low,Close,Volume,Change
2021-09-14,10015,10030,10005,10006,123237,
2021-09-15,10005,10005,9945,9946,124242,-0.005996402158704783
2021-09-16,10050,10050,9995,10031,49736,0.00854614920571084
2021-09-17,10035,10085,10025,10066,123257,0.0034891835310537633
2021-09-23,9970,9995,9910,9911,85797,-0.015398370753029966
2021-09-24,10000,10025,9980,9996,84872,0.00857632933104635
2021-09-27,10035,10070,10035,10071,39675,0.007503001200480197
2021-09-28,10015,10050,10005,10046,24896,-0.0024823751365306013
2021-09-29,9910,9925,9891,9892,62205,-0.015329484371889301
2021-09-30,9930,9955,9901,9951,16057,0.0059644156894460565
2021-10-01,10229,10229,9711,9717,59641,-0.023515224600542672
2021-10-05,9726,9776,9706,9767,24941,0.005145621076463991
2021-10-06,9821,9876,9821,9852,19424,0.008702774649329337
2021-10-07,9950,9995,9930,9996,46018,0.014616321559074219
2021-10-08,10030,10065,10020,10041,27482,0.004501800720288163
2021-10-12,9995,9995,9945,9961,12957,-0.007967333930883336
2021-10-13,9960,9965,9925,9941,8030,-0.002007830539102473
2021-10-14,9965,9970,9945,9956,8730,0.0015089025248968824
2021-10-15,10060,10095,10050,10091,23480,0.01355966251506624
2021-10-18,10174,10179,10124,10160,11592,0.006837776236250148
2021-10-19,10184,10219,10164,10175,27668,0.001476377952756014
2021-10-20,10224,10229,10164,10180,15713,0.0004914004914005066
2021-10-21,10224,10234,10199,10230,16932,0.004911591355599265
2021-10-22,10254,10294,10249,10275,28579,0.004398826979472137
2021-10-25,10269,10269,10194,10215,9306,-0.005839416058394109
2021-10-26,10279,10279,10239,10260,20595,0.004405286343612369
2021-10-27,10289,10333,10264,10329,28199,0.006725146198830467
2021-10-28,10299,10333,10294,10300,27716,-0.0028076290057120756
2021-10-29,10358,10363,10309,10310,17825,0.000970873786407811
2021-11-01,10438,10508,10438,10484,42300,0.01687681862269641
2021-11-02,10508,10508,10448,10469,37697,-0.0014307516215185112
2021-11-03,10508,10567,10508,10568,43922,0.009456490591269517
2021-11-04,10592,10642,10582,10643,103767,0.00709689629068877
2021-11-05,10717,10751,10712,10747,121656,0.00977168091703473
2021-11-08,10741,10766,10717,10742,75603,-0.0004652461151949394
2021-11-09,10766,10771,10692,10708,68217,-0.003165146155278298
2021-11-10,10702,10707,10657,10698,87149,-0.0009338812103100169
2021-11-11,10667,10702,10642,10643,75328,-0.005141147878108043
2021-11-12,10652,10667,10592,10633,72663,-0.0009395847035610361
2021-11-15,10722,10732,10672,10673,30098,0.0037618734129596376
2021-11-16,10697,10746,10652,10673,23571,0.0
2021-11-17,10727,10776,10727,10757,13860,0.007870326993347776
2021-11-18,10756,10761,10702,10742,76399,-0.0013944408292274613
2021-11-19,10791,10930,10791,10877,80411,0.01256749208713459
2021-11-22,10846,10886,10826,10837,39470,-0.0036774846005331874
2021-11-23,10801,10801,10751,10757,29946,-0.007382116821998741
2021-11-24,10821,10851,10821,10832,18896,0.006972204146137306
2021-11-25,10851,10911,10851,10912,77811,0.007385524372230501
2021-11-26,10826,10831,10766,10767,34928,-0.013288123167155441
2021-11-29,10692,10741,10667,10708,41112,-0.005479706510634341
2021-11-30,10786,10786,10577,10633,30760,-0.0070041090773254044
2021-12-01,10632,10632,10508,10568,22016,-0.006113044296059411
2021-12-02,10403,10403,10368,10379,11858,-0.017884178652535998
2021-12-03,10448,10527,10443,10528,6696,0.014355910974082287
2021-12-06,10468,10508,10463,10489,12214,-0.00370440729483279
2021-12-07,10522,10592,10522,10583,58685,0.008961769472781045
2021-12-08,10717,10746,10677,10732,11260,0.014079183596333644
2021-12-09,10717,10722,10677,10713,10347,-0.0017704062616473726
2021-12-10,10707,10707,10652,10708,9261,-0.0004667226733874319
2021-12-13,10712,10826,10712,10827,12572,0.011113186402689657
2021-12-14,10727,10761,10717,10727,9239,-0.00923616883716638
2021-12-15,10657,10687,10627,10678,10609,-0.004567912743544289
2021-12-16,10836,10846,10732,10847,5250,0.015826933882749472
2021-12-17,10736,10741,10662,10663,8816,-0.016963215635659612
2021-12-20,10572,10587,10503,10504,10654,-0.014911375785426229
2021-12-21,10567,10622,10537,10623,15686,0.01132901751713633
2021-12-22,10672,10722,10672,10722,9164,0.009319401299068053
2021-12-23,10781,10836,10781,10807,18685,0.007927625443014286
2021-12-24,10841,10896,10841,10882,7645,0.006939946331081748
2021-12-27,10901,10901,10851,10882,13752,0.0
2021-12-28,10960,11015,10960,11016,66735,0.012313912883661127
2021-12-29,11015,11025,10995,11021,13042,0.00045388525780687416
2021-12-30,11000,11035,10945,11036,11034,0.001361038018328653
2022-01-03,11035,11055,10990,11046,43704,0.0009061254077564751
2022-01-04,11060,11135,11060,11125,104399,0.007151910193735178
2022-01-05,11110,11120,11075,11081,20230,-0.003955056179775318
2022-01-06,10901,10960,10856,10882,31786,-0.017958667990253585
2022-01-07,10861,10965,10861,10941,56417,0.005421797463701417
2022-01-10,10826,10856,10791,10847,10701,-0.008591536422630441
2022-01-11,10841,10841,10761,10782,22796,-0.005992440306075375
2022-01-12,10861,10881,10841,10882,21939,0.009274717121127818
