Date,Open,High,Low,Close,Volume,Change
2022-06-28,11675,12005,11615,11990,351776,
2022-06-29,11810,12270,11755,12240,363697,0.020850708924103456
2022-06-30,12375,12400,12065,12065,232589,-0.014297385620914982
2022-07-01,12140,12220,11910,12010,220439,-0.0045586406962287995
2022-07-04,12095,12100,11460,11660,280413,-0.029142381348875923
2022-07-05,11695,11790,11515,11780,196365,0.010291595197255532
2022-07-06,11790,11845,11190,11200,112527,-0.04923599320882854
2022-07-07,11520,11780,11360,11720,217178,0.046428571428571486
2022-07-08,11850,11860,11685,11720,74617,0.0
2022-07-11,11750,11750,11485,11565,50609,-0.013225255972696193
2022-07-12,11490,11545,11265,11545,140744,-0.0017293558149589217
2022-07-13,11495,11495,11285,11305,52424,-0.020788220008661762
2022-07-14,11250,11340,11115,11225,248516,-0.0070765148164528835
2022-07-15,11205,11245,10950,11095,53603,-0.011581291759465429
2022-07-18,11145,11355,11140,11310,169753,0.019378098242451625
2022-07-19,11315,11455,11305,11350,19676,0.0035366931918656697
2022-07-20,11515,11515,11385,11395,213415,0.003964757709251199
2022-07-21,11470,11500,11410,11425,208005,0.002632733655111963
2022-07-22,11430,11495,11360,11405,262459,-0.0017505470459519001
2022-07-25,11390,11430,11350,11400,224325,-0.0004384042086803541
2022-07-26,11505,11650,11495,11555,245042,0.013596491228070162
2022-07-27,11555,11655,11500,11655,195099,0.008654262224145448
2022-07-28,11745,11745,11620,11735,329833,0.0068640068640069
2022-07-29,11760,11925,11720,11890,283613,0.01320835108649332
2022-08-01,11875,11990,11875,11945,22327,0.004625735912531459
2022-08-02,11950,12015,11655,11720,52318,-0.018836333193804955
2022-08-03,11675,11790,11660,11770,121414,0.00426621160409546
2022-08-04,11810,11810,11665,11690,22543,-0.00679694137638065
2022-08-05,11730,11880,11685,11880,527059,0.016253207869974418
2022-08-08,11850,12005,11810,12005,133424,0.010521885521885599
2022-08-09,12035,12200,12000,12200,230898,0.016243231986672324
2022-08-10,12245,12560,12245,12460,287753,0.021311475409836023
2022-08-11,12630,12715,12490,12655,267672,0.015650080256821797
2022-08-12,12685,12950,12685,12775,319053,0.009482418016594218
2022-08-16,12855,12860,12650,12700,80192,-0.005870841487279899
2022-08-17,12700,12830,12540,12575,407500,-0.009842519685039353
2022-08-18,12490,12715,12485,12715,41092,0.011133200795228726
2022-08-19,12770,12780,12600,12600,93295,-0.009044435705859222
2022-08-22,12410,12600,12410,12470,86994,-0.01031746031746028
