Date,Open,High,Low,Close,Volume,Change
2022-06-30,10000,10005,9900,9900,4065,
2022-07-01,9910,9910,9910,9910,1,0.0010101010101009056
2022-07-04,9910,9995,9910,9990,9,0.008072653884964698
2022-07-05,9960,9960,9960,9960,90,-0.0030030030030030463
2022-07-06,10070,10070,10035,10035,43,0.0075301204819278045
2022-07-07,10070,10070,10025,10045,149,0.0009965122072745913
2022-07-08,10045,10110,10045,10045,12,0.0
2022-07-11,10080,10100,10005,10005,3196,-0.003982080637132901
2022-07-12,9985,10050,9985,10050,7,0.004497751124437732
2022-07-13,9965,10035,9965,10000,58,-0.00497512437810943
2022-07-14,9990,10015,9915,10015,127,0.0015000000000000568
2022-07-15,10000,10040,10000,10020,672,0.0004992511233150587
2022-07-18,10110,10125,10110,10120,23,0.009980039920159722
2022-07-19,10015,10095,10015,10095,12,-0.0024703557312253377
2022-07-20,10195,10200,10135,10140,79,0.004457652303120341
2022-07-21,10140,10225,10125,10205,1385,0.0064102564102563875
2022-07-22,10140,10260,10140,10180,76,-0.002449779519843265
2022-07-25,10290,10290,10180,10205,1234,0.0024557956777995216
2022-07-26,10270,10270,10160,10160,43,-0.00440960313571781
2022-07-27,10170,10240,10170,10240,483,0.007874015748031482
2022-07-28,10290,10320,10215,10215,107,-0.00244140625
2022-07-29,10220,10340,10220,10340,95,0.012236906510034284
2022-08-01,10345,10405,10335,10335,21,-0.0004835589941972751
2022-08-02,10335,10345,10330,10330,288,-0.0004837929366231508
2022-08-03,10300,10300,10300,10300,3,-0.0029041626331074433
2022-08-04,10370,10505,10370,10505,777,0.019902912621359237
2022-08-05,10510,10510,10350,10475,268,-0.0028557829604950458
2022-08-08,10480,10485,10320,10455,380421,-0.0019093078758949389
2022-08-09,10355,10495,10335,10440,413618,-0.0014347202295552641
2022-08-10,10365,10445,10345,10440,1283,0.0
2022-08-11,10440,10520,10440,10455,14604,0.001436781609195359
2022-08-12,10450,10510,10370,10460,266349,0.0004782400765184214
2022-08-16,10565,10565,10475,10495,17500,0.0033460803059273125
2022-08-17,10510,10590,10500,10505,4051,0.000952834683182413
2022-08-18,10710,10710,10480,10495,6348,-0.0009519276534983856
2022-08-19,10520,10585,10500,10500,7194,0.0004764173415912065
2022-08-22,10715,10715,10470,10470,151,-0.0028571428571428914
